2025-05-02T17:17:12.863Z | Ultimate Tango | success | Methods: btcNiceName
2025-05-02T17:17:13.373Z | Ultimate Tango | success | Methods: cache
2025-05-02T17:17:13.742Z | Boston Sunday Practica Group | success | Methods: btcNiceName
2025-05-02T17:17:14.001Z | Ultimate Tango | success | Methods: cache
2025-05-02T17:17:14.210Z | Tango Society of Boston | success | Methods: btcNiceName
2025-05-02T18:15:00.597Z | Ultimate Tango | success | Methods: btcNiceName
2025-05-02T18:15:03.892Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:15:06.803Z | Boston Sunday Practica Group | success | Methods: btcNiceName
2025-05-02T18:15:09.427Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:15:11.858Z | Tango Society of Boston | success | Methods: btcNiceName
2025-05-02T18:31:27.780Z | Ultimate Tango | success | Methods: btcNiceName
2025-05-02T18:31:30.911Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:31:33.735Z | Boston Sunday Practica Group | success | Methods: btcNiceName
2025-05-02T18:31:36.384Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:31:38.909Z | Tango Society of Boston | success | Methods: btcNiceName
2025-05-02T18:31:42.547Z | Practica Spark | success | Methods: btcNiceName
2025-05-02T18:31:45.046Z | Toby Balsley | success | Methods: btcNiceName
2025-05-02T18:31:47.519Z | Toby Balsley | success | Methods: cache
2025-05-02T18:31:50.791Z | Guillermo Merlo | success | Methods: btcNiceName
2025-05-02T18:31:53.500Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:31:55.816Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:31:58.352Z | TangoSpark | success | Methods: btcNiceName
2025-05-02T18:32:00.952Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:32:03.180Z | TangoSpark | success | Methods: cache
2025-05-02T18:32:06.442Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:32:09.188Z | Tango Academy of Boston | success | Methods: btcNiceName
2025-05-02T18:32:12.147Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:32:14.635Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:32:17.166Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:32:20.809Z | Milonga Sal Azul Team | success | Methods: btcNiceName
2025-05-02T18:32:23.425Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:32:28.138Z | Laura Grandi | success | Methods: btcNiceName
2025-05-02T18:32:30.657Z | Guillermo Merlo | success | Methods: cache
2025-05-02T18:32:35.412Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:32:38.202Z | Tango Sueño Academy | success | Methods: btcNiceName
2025-05-02T18:32:40.917Z | FG Dance Academy | success | Methods: btcNiceName
2025-05-02T18:32:43.345Z | FG Dance Academy | success | Methods: cache
2025-05-02T18:32:45.593Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:32:48.156Z | Laura Grandi | success | Methods: cache
2025-05-02T18:32:50.611Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:32:53.203Z | Milton and Corin | success | Methods: btcNiceName
2025-05-02T18:32:57.671Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:33:00.508Z | Boston Sunday Practica Group | success | Methods: cache
2025-05-02T18:33:02.715Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:33:04.953Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:33:09.048Z | Practica Spark | success | Methods: cache
2025-05-02T18:33:11.372Z | Toby Balsley | success | Methods: cache
2025-05-02T18:33:13.484Z | Toby Balsley | success | Methods: cache
2025-05-02T18:33:17.532Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:33:19.951Z | Guillermo Merlo | success | Methods: cache
2025-05-02T18:33:22.311Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:33:24.472Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:33:26.692Z | TangoSpark | success | Methods: cache
2025-05-02T18:33:28.804Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:33:30.897Z | TangoSpark | success | Methods: cache
2025-05-02T18:33:34.926Z | Tango Academy of Boston | success | Methods: cache
2025-05-02T18:33:37.296Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:33:39.617Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:33:42.188Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:33:45.455Z | Milonga Sal Azul Team | success | Methods: cache
2025-05-02T18:33:47.752Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:33:50.845Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:33:53.110Z | Laura Grandi | success | Methods: cache
2025-05-02T18:33:55.534Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:33:58.716Z | Tango Sueño Academy | success | Methods: cache
2025-05-02T18:34:01.202Z | FG Dance Academy | success | Methods: cache
2025-05-02T18:34:03.538Z | FG Dance Academy | success | Methods: cache
2025-05-02T18:34:05.722Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:34:08.883Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:34:11.305Z | Blue Tango | success | Methods: btcNiceName
2025-05-02T18:34:14.562Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:34:16.749Z | Boston Sunday Practica Group | success | Methods: cache
2025-05-02T18:34:19.030Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:34:21.134Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:34:24.146Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:34:26.314Z | Practica Spark | success | Methods: cache
2025-05-02T18:34:28.536Z | Toby Balsley | success | Methods: cache
2025-05-02T18:34:30.599Z | Toby Balsley | success | Methods: cache
2025-05-02T18:34:34.018Z | Guillermo Merlo | success | Methods: cache
2025-05-02T18:34:36.348Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:34:38.682Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:34:41.005Z | TangoSpark | success | Methods: cache
2025-05-02T18:34:43.177Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:34:45.348Z | TangoSpark | success | Methods: cache
2025-05-02T18:34:48.618Z | Tango Academy of Boston | success | Methods: cache
2025-05-02T18:34:50.949Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:34:53.306Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:34:55.522Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:34:58.440Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:35:00.784Z | Milonga Sal Azul Team | success | Methods: cache
2025-05-02T18:35:02.959Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:35:06.124Z | Laura Grandi | success | Methods: cache
2025-05-02T18:35:08.521Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:35:11.508Z | Tango Sueño Academy | success | Methods: cache
2025-05-02T18:35:14.201Z | FG Dance Academy | success | Methods: cache
2025-05-02T18:35:16.445Z | FG Dance Academy | success | Methods: cache
2025-05-02T18:35:18.501Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:35:20.690Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:35:23.256Z | Tango Sueño Academy | success | Methods: cache
2025-05-02T18:35:25.588Z | Tango Society of Boston | success | Methods: cache
